Column1;PC1;PC2;Unnamed: 0;Project;Treatment;Timepoint
380;-3,694996487;-1,338703633;Intensity_1DLC0080815QE_RRAG_017_rep2;PXD012477;Non-Healthy;A
524;-4,720303118;-1,660580751;Intensity_1DLC0080815QE_RRAG_018_rep1;PXD012477;Non-Healthy;A
254;-3,604359712;-1,729678288;Intensity_1DLC0080815QE_RRAG_018_rep2;PXD012477;Non-Healthy;A
366;-4,950905599;-1,282732195;Intensity_1DLC0080815QE_RRAG_019_rep1;PXD012477;Healthy;A
448;-5,108990595;-1,084753009;Intensity_1DLC0080815QE_RRAG_019_rep2;PXD012477;Healthy;A
299;6,376807751;-0,737233894;Intensity_1DLC012615QE_RRAG_001B_rep1;PXD012477;Healthy;B
217;5,944081508;-0,305211882;Intensity_1DLC012615QE_RRAG_001B_rep2;PXD012477;Healthy;B
275;5,336972822;-1,601138966;Intensity_1DLC012615QE_RRAG_001B_rep3;PXD012477;Healthy;B
375;6,097497065;-1,441023227;Intensity_1DLC012615QE_RRAG_001B_rep4;PXD012477;Healthy;B
115;6,87028157;-0,238419402;Intensity_1DLC012615QE_RRAG_002B_rep1;PXD012477;Non-Healthy;B
519;7,054418016;0,526844266;Intensity_1DLC012615QE_RRAG_002B_rep2;PXD012477;Non-Healthy;B
93;7,613725859;-1,273470012;Intensity_1DLC012615QE_RRAG_002B_rep3;PXD012477;Non-Healthy;B
431;6,289362298;-1,023948853;Intensity_1DLC012615QE_RRAG_002B_rep4;PXD012477;Non-Healthy;B
125;6,347955619;-0,833521115;Intensity_1DLC012615QE_RRAG_003B_rep1;PXD012477;Healthy;B
425;6,082575751;-1,228211467;Intensity_1DLC012615QE_RRAG_003B_rep2;PXD012477;Healthy;B
119;6,847251388;-1,535604359;Intensity_1DLC012615QE_RRAG_003B_rep3;PXD012477;Healthy;B
158;5,483425092;-0,925983181;Intensity_1DLC012615QE_RRAG_003B_rep4;PXD012477;Healthy;B
489;7,525746056;-1,288154209;Intensity_1DLC012615QE_RRAG_004B_rep1;PXD012477;Healthy;B
523;7,38050095;-1,058309086;Intensity_1DLC012615QE_RRAG_004B_rep2;PXD012477;Healthy;B
284;7,242014591;-1,95601285;Intensity_1DLC012615QE_RRAG_004B_rep3;PXD012477;Healthy;B
289;6,356477939;-1,225865578;Intensity_1DLC012615QE_RRAG_004B_rep4;PXD012477;Healthy;B
440;6,193542909;-0,982701437;Intensity_1DLC012615QE_RRAG_005B_rep1;PXD012477;Healthy;B
515;5,941000917;-0,809569858;Intensity_1DLC012615QE_RRAG_005B_rep2;PXD012477;Healthy;B
127;6,416033985;-1,370478266;Intensity_1DLC012615QE_RRAG_005B_rep3;PXD012477;Healthy;B
462;6,592613501;-0,895513376;Intensity_1DLC012615QE_RRAG_005B_rep4;PXD012477;Healthy;B
277;7,057166575;-0,291560682;Intensity_1DLC012615QE_RRAG_006B_rep1;PXD012477;Healthy;B
221;7,18987686;-1,233547079;Intensity_1DLC012615QE_RRAG_006B_rep2;PXD012477;Healthy;B
535;7,785411751;-0,891656919;Intensity_1DLC012615QE_RRAG_006B_rep3;PXD012477;Healthy;B
88;6,249302276;-1,964221545;Intensity_1DLC012615QE_RRAG_006B_rep4;PXD012477;Healthy;B
539;7,508100872;0,784255124;Intensity_1DLC012615QE_RRAG_007B_rep1;PXD012477;Non-Healthy;B
294;7,025304512;0,194264787;Intensity_1DLC012615QE_RRAG_007B_rep2;PXD012477;Non-Healthy;B
165;7,13972163;0,147550315;Intensity_1DLC012615QE_RRAG_007B_rep3;PXD012477;Non-Healthy;B
71;6,438148775;0,635326257;Intensity_1DLC012615QE_RRAG_007B_rep4;PXD012477;Non-Healthy;B
305;7,203420892;-0,688369392;Intensity_1DLC012615QE_RRAG_008B_rep1;PXD012477;Non-Healthy;B
251;6,754957366;-0,214376516;Intensity_1DLC012615QE_RRAG_008B_rep2;PXD012477;Non-Healthy;B
435;7,041882521;-0,871567913;Intensity_1DLC012615QE_RRAG_008B_rep3;PXD012477;Non-Healthy;B
470;6,881223446;-0,613570096;Intensity_1DLC012615QE_RRAG_008B_rep4;PXD012477;Non-Healthy;B
493;6,502886367;0,261674058;Intensity_1DLC012615QE_RRAG_009B_rep1;PXD012477;Non-Healthy;B
