,[1384]Homocysteic_acid[M],[1914]Met->AspSA[M],[1915]Decarboxylation[D],[1915]Decarboxylation[E],[1916]Aspartylurea[H],[1917]Formylasparagine[H],[1918]Carbonyl[A],[1918]Carbonyl[E],[1918]Carbonyl[I],[1918]Carbonyl[Q],[1918]Carbonyl[R],[1918]Carbonyl[S],[1918]Carbonyl[V],[1922]Pro->HAVA[P],[1923]Delta:H(-4)O(2)[W],[1924]Delta:H(-4)O(3)[W],[1925]Delta:O(4)[W],[1927]Delta:H(4)C(5)O(1)[R],[1928]Delta:H(10)C(8)O(1)[K],[1929]Delta:H(6)C(7)O(4)[R],[205]Delta:H(6)C(6)O(1)[K],[206]Delta:H(4)C(3)O(1)[H],[206]Delta:H(4)C(3)O(1)[K],[206]Delta:H(4)C(3)O(1)[R],[275]Nitrosyl[C],[288]Trp->Oxolactone[W],[318]Delta:H(2)C(5)[K],[335]HNE+Delta:H(2)[C],[335]HNE+Delta:H(2)[H],[335]HNE+Delta:H(2)[K],[340]Bromo[Y],[344]Arg->GluSA[R],[345]Trioxidation[C],[345]Trioxidation[F],[345]Trioxidation[W],[350]Trp->Hydroxykynurenin[W],[351]Trp->Kynurenin[W],[352]Lys->Allysine[K],[354]Nitro[F],[354]Nitro[W],[354]Nitro[Y],[359]Pro->pyro-Glu[P],[35]Oxidation[C],[35]Oxidation[D],[35]Oxidation[E],[35]Oxidation[F],[35]Oxidation[H],[35]Oxidation[I],[35]Oxidation[K],[35]Oxidation[N],[35]Oxidation[P],[35]Oxidation[Q],[35]Oxidation[R],[35]Oxidation[S],[35]Oxidation[T],[35]Oxidation[V],[35]Oxidation[W],[35]Oxidation[Y],[35]oxidation[M],[360]Pro->Pyrrolidinone[P],[368]Cys->Dha[C],[378]Carboxyethyl[K],[392]Quinone[W],[401]Didehydro[T],[421]Sulfide[C],[425]Dioxidation[C],[425]Dioxidation[F],[425]Dioxidation[K],[425]Dioxidation[M],[425]Dioxidation[P],[425]Dioxidation[W],[425]Dioxidation[Y],[534]Dibromo[Y],[53]HNE[C],[53]HNE[H],[53]HNE[K],[6]Carboxymethyl[K],[720]HNE-Delta:H(2)O[C],[720]HNE-Delta:H(2)O[H],[720]HNE-Delta:H(2)O[K],[721]4-ONE[C],[721]4-ONE[H],[721]4-ONE[K],[743]4-ONE+Delta:H(-2)O(-1)[C],[743]4-ONE+Delta:H(-2)O(-1)[H],[743]4-ONE+Delta:H(-2)O(-1)[K],[860]G-H1[R],[936]Chlorination[Y],[937]dichlorination[Y],[949]3-deoxyglucosone[R]
Intensity_20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1R2_library_AD2_fraction19,8.021851014155298e-05,0.0004710709294797804,0.0009117741921904213,0.000542141187100163,0.0012748818816455008,0.0012334263119612838,0.0005790505198814544,0.0011315085212402355,0.0010739179220632966,0.00011593769774318,0.0002518654989870723,0.0006124890970228618,0.0004922336801488209,0.00035707380547569435,0.0,0.0,0.00011520964478392718,0.0,0.0,0.0,0.00017559009158385784,0.0010542968808195015,0.000632450312724708,0.0,0.0009559566132798152,0.0003503173353041363,0.00044520360535934504,0.0,0.0,0.0,0.00010679316536134418,0.0006146143799560483,0.0032668398635083357,0.0007214660234581662,0.00039218383108208525,0.001311677163371236,0.02611698359469758,0.0006059709433730957,0.0001005769572753651,0.0001701956827252621,0.0009394898068775829,0.0009602844279934884,0.000936242815877595,0.0006228368674337241,0.001771922914125858,0.001346251601134373,0.0005057358941081982,0.002160188329145985,9.758171239855014e-05,0.0006349837924991502,0.0030330589539760253,0.0007800442133233342,0.0003648915028734357,0.0013660399834991498,0.0007906154298242881,0.00035445238759427547,0.00470402468669002,0.002307940089704263,0.11158016482901979,0.0004406434150765826,0.011019666211258345,0.0003404771301109929,0.0005313673502521998,0.002709303673135489,0.00033199997847542604,0.0014602717369026374,0.00030736065034434035,0.0004020157494515131,0.0008016115733977178,0.001668660090422961,0.005865477285435762,0.0003822267185149337,0.0,7.50012550255283e-05,0.0001966569126604394,0.0,0.004853543542095401,0.0,0.0,0.0,0.0,0.00011438096434501342,0.0,0.0,0.00010210881723241067,0.0,0.00011736285255127222,0.00015156933995503745,0.00011203349970570108,0.0
Intensity_20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1R2_library_AD2_fraction20,0.0002372185414584685,0.0009003725094393048,0.0006949772908175138,0.0005787560349936343,0.0010275823721852865,0.0009530244802007289,0.0007614246250060447,0.0009345472734894316,0.0017056709040853938,0.0004060781874995473,0.0002573873797439126,0.0002690921398180076,0.0004931891621183974,0.00041753979112178156,0.0,0.0,9.138437838123968e-05,8.790943356052475e-05,0.0,0.0,0.0002393819385199448,0.0009226583335767866,0.0005401113369526653,0.0,0.0006918565954518929,0.0002497978290569574,0.0003166530105030493,0.0,8.303648210271159e-05,0.0,7.338461379698958e-05,0.0003322469400133009,0.00310831707723461,0.0009520657932387244,0.0004296071613811491,0.0007786807633062071,0.02453668433423126,0.000834074406785728,8.89993486352746e-05,0.00022466834351661665,0.0008578223188426834,0.0008448744729282352,0.00118808665902833,0.00036829743885339136,0.0018428669699475497,0.0014582816182411229,0.0006018284030212084,0.0025934302369899583,0.00010183220440103414,0.000664740804984226,0.002799193255482236,0.0006852920184902344,0.00021995041011065407,0.0015079829031960533,0.0007719147988902397,0.00047286132050127465,0.0051779827677886,0.0020833342226712257,0.11259290299816352,0.0002602410067640122,0.01077679636999007,0.00041208053289863255,0.0004537202913244657,0.003471374819654667,0.00017983872362647212,0.0010784987817147491,0.0007033871754401448,6.871170370640519e-05,0.0010385930880100333,0.0013544057366422968,0.00573128729496043,0.0005012431220935372,0.0,8.973982798745574e-05,9.09333343852753e-05,0.0001416227586768284,0.0035425754455642063,0.0,0.0,0.0,8.338010095168484e-05,0.0002002205551027676,0.0,6.821273865186866e-05,0.0,0.0,0.0004346961775307121,0.00015914626625389004,0.0,6.429669703433648e-05
Intensity_20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1R2_library_AD2_fraction21,7.379868460461554e-05,0.0008336316769627755,0.00023643471155675112,0.0004857086275179254,0.0005336506919118322,0.000875343935517675,0.0007442186448299657,0.00025723826026575244,0.001402158491271062,0.00023199752146843192,0.0001654863495595028,0.00038280105954669683,0.00020740118178231665,0.00027737368866762865,0.0,0.0,0.0,7.144646086510384e-05,0.0,0.0,0.0003723820351147102,0.000779681264688226,0.0004595044938460452,0.0,0.0002642592366511801,0.00037826172990569796,0.00032059918879757764,0.0,0.0,0.0,0.0,0.00024631918495496145,0.002559528456003739,0.0007166861258002688,0.0005565726729637536,0.0009952124839393017,0.025341601273784087,0.0010275313501289622,8.257034595432971e-05,0.0001477113245437851,0.0006851403797378967,0.0003103408135567441,0.0007549239649843739,0.00027904058033097824,0.0015531818561738164,0.0015742605748754128,0.0006104879902715895,0.0019399987629960065,9.441473963479301e-05,0.0002105433749445651,0.003231353676557096,0.00017432874350356515,0.0002594594905623416,0.0012230604941737046,0.0008212667380765039,0.00022859247674084145,0.005010508250990316,0.002159644375246193,0.11348577047436743,0.000256755689230055,0.010872168856084885,0.00040830389554005774,0.0005873437332490456,0.002505388229761548,0.00019348132294234475,0.0007745314865514597,0.0001882508968047909,7.318083555214633e-05,0.001053615619364728,0.001273210446667957,0.006581223895415617,0.0004107448255463111,0.0,0.0,3.648568612932363e-05,0.00024919274608443465,0.0037666710333238013,7.004783707490977e-05,0.0,0.0,9.114393643378522e-05,0.0,6.772608877085644e-05,6.940596834658037e-05,0.0,0.0,0.0003973352837158026,0.0,0.0,0.00010301028758335599
Intensity_20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1R2_library_AD2_fraction22,0.0001418468039723218,0.0012375127437585648,9.022644864216549e-05,0.0006227357281925154,0.0004970405317379215,0.0009330277042192036,0.0005579305479070825,0.0005646343369588232,0.001655428505530439,0.00031586323257126633,0.00038541637161246305,0.0005886550146413603,0.00022402720605567284,0.00013771056264491228,0.0,0.0,0.00035270783951422415,7.44658500403132e-05,0.0,0.0,0.0009208648735335989,0.0005978513334350432,0.0003853929769380004,8.9589109680772e-05,5.147944052139714e-05,0.000605593471801099,0.00014550688347372137,0.0,0.0,0.0,0.0,5.9415043019910184e-05,0.0027361238960401674,0.00040648472471170913,0.0012069692153615437,0.0015385349725736475,0.027706868921610533,0.0007348726007303427,0.00010220388234296034,0.00018948712407791375,0.000560829767044304,0.0003105908270277542,0.000642976931233287,0.0007680234449202581,0.0008232137088485291,0.0018362492087912947,0.0009553770882175831,0.00205291917333273,6.883584687034948e-05,0.00014636583677561768,0.0027087265598012993,0.0004306269378674044,0.0003623427754025719,0.0009706260085022412,0.0011104016775418013,0.000455573782924114,0.00515154562024474,0.0026851311930035007,0.11115728274833617,0.00020515800035201937,0.010425905133286381,0.0006089972471414656,0.0008075806716701184,0.0020391530963623757,0.00012797842718689998,0.0006006269777205037,0.0006087365382626623,0.00016495533721549662,0.0013711212696904916,0.001278622114007651,0.006116120458254357,0.001014295824492724,0.0,0.0,5.464269280873104e-05,0.0,0.002098062717772659,7.74052183819849e-05,0.0,0.0,8.982316416530926e-05,0.00013243193406576171,0.0,6.67934694923659e-05,0.0,0.0,0.0005995291883267756,0.0,0.0,0.0
Intensity_20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1R2_library_AD2_fraction23,0.00015699258276079606,0.0012148803539279859,6.471719957154718e-05,0.0008228997445676659,0.0005682801401225852,0.000982171828327425,0.0005074680426713691,0.0006117872987610976,0.0018470995428941552,0.0002943519675540727,0.0004470297469442759,0.000605329067245868,0.0002396645845215115,0.00023320211040167902,0.0,0.0,0.0003782386516733158,0.0,0.0,0.0,0.00143189251587862,0.0008472871182671938,0.0007646662758552554,6.878554877494347e-05,0.00015536330057545086,0.0009759724989761633,0.00030933225970488303,0.0,0.0,0.0,0.0,0.00028402482598022916,0.002439098521689017,0.0004207635950841426,0.0011163394383453477,0.0018213579901993021,0.029644508600188083,0.0003430483947909279,0.00019141681688336404,0.0003246835088041166,0.0007713265824669027,0.0006204490610517808,0.0004135603874735719,0.00028682983011469205,0.0010140233423303583,0.0017525488276369124,0.0007081200130714816,0.0035441797680311688,0.00014351416090637882,0.00024084834335481138,0.002681795284436153,0.0004002788395557625,0.00022863397769081834,0.0012821729033580518,0.0010849130217291053,0.0007059600131730779,0.006789289238296711,0.0026786090220980575,0.10689475443328321,0.00022226820115828618,0.01228478912181772,0.0002687172846986342,0.0008463326633038627,0.0024745287475991975,7.665368958460551e-05,0.0008481853618505435,0.0005879451407955667,0.0001259082337658177,0.0008949021886597646,0.0011503671607625981,0.006341494898142192,0.0008803770209027124,0.0,0.0,0.00011857921326129295,7.789822747240024e-05,0.002848409574193557,9.286704952613881e-05,0.0,0.0,0.00014287329058665523,8.10258393274809e-05,0.0,8.386267344612472e-05,0.0,0.0,0.0002927726481824937,0.0,0.0,0.0
Intensity_20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1R2_library_AD2_fraction24,0.0001873406793751015,0.0008822566147814547,0.00023358263235383076,0.0007260479534173924,0.00039147044102168086,0.0008935326823532078,0.0007706303053261513,0.0008861265997178211,0.0018656954222546962,0.0003176115493499877,0.000364893454954607,0.000944656188376773,0.0004044544579013248,0.00023706272609458408,0.0,0.0,0.00018602317342888665,0.0,0.0,0.0,0.0013254749303578514,0.0005734428306445333,0.0006878714240696504,0.0,9.719753641271366e-05,0.0005323723604864038,0.00023440931624227289,0.0,0.0,0.0,0.0,0.000142612722704061,0.0029289728884930406,0.00010135322112622583,0.0011418184412509392,0.0018530183532085552,0.03120536867523704,0.00039951478895301583,0.00018203267153975254,0.00033835330208739417,0.0006179479013362085,0.0006332204051466698,0.000435246925037508,0.00043935110736498733,0.0006337388819440171,0.002091468966135023,0.0007647496097408892,0.004103816668188256,0.0,0.0001371366115641822,0.0019578734703445664,0.0006935460525857408,0.00016270670437091878,0.001419818372180405,0.0004967352480969029,0.0008762586143154087,0.006828809046884033,0.003635053290658773,0.1123529045621581,0.00015161511269623336,0.011219244738524141,0.0003128019969304542,0.0008043957618190731,0.0023971134850449055,0.00012258028578428177,0.0008893530141444489,0.0005216226793221993,0.00030732683970687133,0.0011961876753229577,0.0006445741530761188,0.006944498503232222,0.0009364541843170751,0.0,0.0,0.0002457170268122426,0.00020463758162880333,0.003157106545891331,0.0,0.0,0.0,9.068415589286791e-05,0.0,0.0,8.193992245710043e-05,0.0,0.0,0.0004076969398652275,0.0,0.0,8.698853046026973e-05
Intensity_20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1R2_library_ctrl2_fraction01,0.0005137724394282998,0.001796091199095987,0.0,0.0006161230873191781,0.00046571462620143407,0.0014080706829339106,0.001258941438562447,0.0013291735794996775,0.0017808215794931771,0.0002956975452791403,0.00012433294336330907,0.0002580463067031918,0.0005130419134778003,0.0005455858159175252,0.0,0.0,0.00026846488348422376,0.0,0.0,0.00027158096478918344,0.00047442633773405417,0.0007469504225942388,0.00028323740274852787,0.0,0.0002952214844796117,0.0006503276664902897,0.0002847445363435069,0.0,0.0,0.0,0.0,0.0,0.005156812872177241,0.0004039470913369657,0.0004454805700089493,0.0015828191099907163,0.031546726136914435,0.0008363373276418059,0.00018786102010845429,0.00028134774123540984,0.0005782351990379297,0.00047088139588034677,0.0013198035468251982,0.0008133485004388474,0.0022694141021324795,0.0032167111523538276,0.0008922093527696521,0.0022519307064390584,0.00048249085630940817,0.0007657994969541116,0.0021747999753537863,0.00033143364999379426,0.00027496686123825034,0.0016359470084875323,0.001532444606307413,0.001257419967270167,0.006413235713439573,0.004214708920402178,0.12855520269610168,0.00014625480556259706,0.013129134267000919,0.0003488239733143941,0.0010749768482957779,0.0039641707334580846,0.0002405018815271761,0.001957878358355552,0.00032326496603865936,0.0,0.0007064387452647155,0.0008582525820770364,0.006024303361868285,0.001053094918655848,0.0,0.0,0.0,0.0,0.003423431760777193,0.00013662941911346172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022388877032225146,0.0,0.0,0.0
Intensity_20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1R2_library_ctrl2_fraction02R2,0.00022176044885051133,0.0009765133552471436,0.00013701589263186647,0.00036618067326829406,0.0008548743983458734,0.001547683127575893,0.00115979903835013,0.0012541835577466471,0.0023388777725570193,0.00011561466991791812,0.00014378030623096136,0.0005647182175408602,0.0004920422806415802,0.00026445172354546765,0.0,0.0,0.0003104436619451132,0.0,0.0,0.0,0.0007280629841365716,0.0008437822872834584,0.0002546404912957784,9.737891781077718e-05,0.00032234487593017715,0.00025430110448732,9.391041631749285e-05,0.00012056338004105865,0.0,0.0,0.0,0.00021204886126757993,0.005864385630031924,0.0007367251468405225,0.0005725887625437355,0.0013778377114656531,0.029823317630486748,0.0006938689335569556,0.0003389367997208408,9.457279094122436e-05,0.0009128224757304485,0.0004814492277478349,0.0012758480927539894,0.0010753210740338446,0.001415453989902058,0.0036186633774468913,0.00099285312243725,0.002355708354220628,0.00031791393286179044,0.00038923076997554915,0.0020206813848228735,0.0007597015260859983,0.00039127038094001194,0.0013752639468992023,0.0012293172454647795,0.0011220218942458865,0.0071168939369020134,0.004724209717479646,0.12462034718188311,0.00012557553114873654,0.011659904903983212,7.853019856007972e-05,0.0007019707251078539,0.003265373326330648,0.00023252753039698017,0.0016569480743083077,0.0005107894688409596,0.0,0.0010333291618985871,0.001687341562719162,0.006369316276493136,0.0014757986101641809,0.0,0.0,0.00013172547893376913,0.0002614784578397311,0.004206967762092042,0.00013791386792511723,0.0,0.0,0.0,0.00012963241520310315,0.0,0.0,0.0,0.0,0.0003507648244840291,0.0,0.0,0.0
Intensity_20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1R2_library_ctrl2_fraction03,0.0003066725195123044,0.0007316604085723965,0.0004965281773091334,0.0011193559708602163,0.0005139852783222648,0.0014378416708767249,0.0014262251123770778,0.0018954562505417957,0.0018873091442057786,0.00018775752808766644,0.00020953793091296117,0.0005574236576977552,0.0005402762776803616,0.00042742921876058766,0.0,0.0,0.0004001319988601954,0.0,0.0,0.0,0.0008148886927683155,0.0008343037665109396,0.000800938450434779,0.0,7.907110477246344e-05,0.00019106464218754323,0.0,8.999696608093804e-05,0.0,0.0,0.0,0.00012542684211384138,0.00428593782854284,0.0007872179773723525,0.0004335865027097304,0.0016298336270722422,0.032662448113477044,0.0008269921218945864,0.00026795664034250056,0.0,0.0007137455916458857,0.00011612655205339955,0.0011858987230052665,0.000983198450495103,0.0016590889983640483,0.0033985770937145264,0.0007658444874502023,0.002802886050380944,0.00042113689357953834,0.0006510917474607216,0.0018650585454876097,0.0007347090381999489,0.00030854743951465427,0.0012325404736974657,0.0014198740053899676,0.0006657248842411212,0.007747407964337062,0.003655589435510459,0.1386356679212098,0.0,0.012729218941525873,0.0004537818376342341,0.0007436142673490409,0.003305086742865009,0.0003222624382349942,0.0023342599372115124,0.00034305053091159736,0.0,0.0012420468335664833,0.0013184685242030236,0.004858362791117614,0.0010678690174388823,0.0,0.0,9.423037691277956e-05,0.0002406050401243061,0.004147573240090976,0.0002460170525574789,0.0,0.0,0.0,0.0001045164824762219,0.0,0.00010686794073000407,0.00011381154291397251,0.0,0.0005358676764140457,0.0,8.320737973820595e-05,0.0
Intensity_20180618_QX0_JaBa_SA_LC12_5_CSF1_1_8-1xD1xS1fM1R2_library_ctrl2_fraction04,0.0003281693636728069,0.0005946658710715291,0.0003122400024121312,0.000681726641036359,0.0008210921704348053,0.0011138897334812803,0.0012103001636479145,0.0015510221696575682,0.0013614920709398644,0.0001626939910438768,0.0002119415242689706,0.0009124341243427188,0.00038366394732732495,0.0006488291026179331,0.0,0.0,0.00020719306511983215,0.0,0.0,0.0,0.0006982559666782119,0.00047208186439289115,0.0009397617932755903,0.0,0.0003548580506160675,0.00027244595973007624,0.00011421659028432983,0.0,0.0,0.0,0.00011471090363155334,0.00010788947421589107,0.003867640264215835,0.001004505461557329,0.0006058852023123039,0.0011805060604991315,0.03021093325094819,0.0006265381958281108,0.0003885869133454687,0.0001809381334553569,0.0005060751967252275,0.0004563611156400327,0.0014451769057205338,0.0005783374454411572,0.0021029194134637055,0.002340470024978808,0.0003990139681714116,0.0028620482851530347,0.0004231217030613791,0.0006261772203143551,0.001860997953469165,0.0007784773776906609,0.00040941510313224916,0.0012415041152861628,0.0011340881327741436,0.0011387963422772247,0.007909595731949796,0.003256732287837158,0.1361195210868872,0.00030614353682884796,0.012547727325095676,0.0008497034301688575,0.0003608769282333314,0.0027601305314645923,8.537848466849431e-05,0.0018341067631741077,0.000536044997140212,0.0,0.0009882938481993143,0.000851163839616085,0.006319054784299372,0.0003656535835535364,0.0,0.0,0.0003142636593398406,0.00025254307593587855,0.004034313775459729,0.0002643991145632937,8.10475109170468e-05,0.0,0.00011711506868191293,0.0,0.0,0.0,9.540154367813371e-05,0.0,0.0005317910320729112,0.00018664403750596307,0.00010230125134007833,0.0
