ID,name,versionNumber,contentType,dataFileSizeBytes,createdBy,createdOn,modifiedBy,modifiedOn,parentId,synapseURL,dataFileMD5Hex,path,error
syn20953793,ag_59_0472.raw,1,image/RAW,1413232330,3320325,1570810977034,3320223,1576681378180,syn21444980,https://www.synapse.org/#!Synapse:syn20953793.1,4d94d00f8897cd54eaebc0baf442518f,/home/robbe/.synapseCache/684/43861684/ag_59_0472.RAW,
syn20953795,ag_60_0415.raw,1,image/RAW,1418138949,3320325,1570811013764,3320223,1576681378715,syn21444980,https://www.synapse.org/#!Synapse:syn20953795.1,f9d8b5da2151d911b0057990695442d0,/home/robbe/.synapseCache/686/43861686/ag_60_0415.RAW,
syn20953816,ag_61_0176.raw,1,image/RAW,1368481013,3320325,1570811059232,3320223,1576681379268,syn21444980,https://www.synapse.org/#!Synapse:syn20953816.1,c04214060c5faf62b42ce74d5ada18e2,/home/robbe/.synapseCache/715/43861715/ag_61_0176.RAW,
syn20953833,ag_62_0494.raw,1,image/RAW,1358604977,3320325,1570811084680,3320223,1576681379821,syn21444980,https://www.synapse.org/#!Synapse:syn20953833.1,81877a79aa4ec1d92dd49386b4ac9010,/home/robbe/.synapseCache/744/43861744/ag_62_0494.RAW,
syn20953851,ag_63_0187.raw,1,image/RAW,1404674134,3320325,1570811112217,3320223,1576681380378,syn21444980,https://www.synapse.org/#!Synapse:syn20953851.1,a26e3b78e1a87ef8af131945c6d65bf9,/home/robbe/.synapseCache/776/43861776/ag_63_0187.RAW,
syn20953869,ag_64_0504.raw,1,image/RAW,1381086386,3320325,1570811144998,3320223,1576681381446,syn21444980,https://www.synapse.org/#!Synapse:syn20953869.1,e4441f2c3313bc6d3206b1364b2abc0b,/home/robbe/.synapseCache/808/43861808/ag_64_0504.RAW,
syn20953888,ag_65_0490.raw,1,image/RAW,1359805316,3320325,1570811175246,3320223,1576681382077,syn21444980,https://www.synapse.org/#!Synapse:syn20953888.1,6c8fe3e0b7cacd9cf6d0527e286b181b,/home/robbe/.synapseCache/841/43861841/ag_65_0490.RAW,
syn20953909,ag_66_0224.raw,1,image/RAW,1389654360,3320325,1570811210585,3320223,1576681382651,syn21444980,https://www.synapse.org/#!Synapse:syn20953909.1,36297048846a6bd95ced411bafc8b7c7,/home/robbe/.synapseCache/875/43861875/ag_66_0224.RAW,
syn20953923,ag_67_0255.raw,1,image/RAW,1358452607,3320325,1570811234116,3320223,1576681383469,syn21444980,https://www.synapse.org/#!Synapse:syn20953923.1,a1b37eb2fde816247cce1716317c0ee9,/home/robbe/.synapseCache/898/43861898/ag_67_0255.RAW,
syn20953934,ag_68_0274.raw,1,image/RAW,1382781388,3320325,1570811259635,3320223,1576681384010,syn21444980,https://www.synapse.org/#!Synapse:syn20953934.1,347d19273aa8433b0e7a05ca374cca14,/home/robbe/.synapseCache/918/43861918/ag_68_0274.RAW,
syn20953956,ag_69_0580.raw,1,image/RAW,1392372113,3320325,1570811296948,3320223,1576681384650,syn21444980,https://www.synapse.org/#!Synapse:syn20953956.1,ec05b0ed1f393fd9001e26cf2d9e9ab0,/home/robbe/.synapseCache/952/43861952/ag_69_0580.RAW,
syn20953974,ag_70_0606.raw,1,image/RAW,1442201201,3320325,1570811328998,3320223,1576681385222,syn21444980,https://www.synapse.org/#!Synapse:syn20953974.1,11b71be9ecdba5e7a896bebd34dbf742,/home/robbe/.synapseCache/985/43861985/ag_70_0606.RAW,
syn20953998,ag_71_aegis.raw,1,image/RAW,1332054629,3320325,1570811368421,3320223,1576681386580,syn21444980,https://www.synapse.org/#!Synapse:syn20953998.1,14a3a46131ac84badb150a51dd789a16,/home/robbe/.synapseCache/23/43862023/ag_71_aegis.RAW,
syn20954018,ag_72_gis.raw,1,image/RAW,1390483276,3320325,1570811398300,3320223,1576681388217,syn21444980,https://www.synapse.org/#!Synapse:syn20954018.1,660d1a2e9c430bb88a0946b7d9726153,/home/robbe/.synapseCache/48/43862048/ag_72_gis.RAW,
syn20954029,ag_73_aegis.raw,1,image/RAW,1318671949,3320325,1570811422569,3320223,1576681389110,syn21444980,https://www.synapse.org/#!Synapse:syn20954029.1,75c1a75e43679da03d0dc8e0db76c2ea,/home/robbe/.synapseCache/69/43862069/ag_73_aegis.RAW,
syn20954048,ag_74_gis.raw,1,image/RAW,1401986804,3320325,1570811453928,3320223,1576681389683,syn21444980,https://www.synapse.org/#!Synapse:syn20954048.1,fddeb7c0f9c5ad1eb307714665d7c2f1,/home/robbe/.synapseCache/100/43862100/ag_74_gis.RAW,
syn20954073,ag_75_0259.raw,1,image/RAW,1390962981,3320325,1570811493192,3320223,1576681390233,syn21444980,https://www.synapse.org/#!Synapse:syn20954073.1,d97e8996500bb93420ec3f61e64c5c61,/home/robbe/.synapseCache/144/43862144/ag_75_0259.RAW,
syn20954091,ag_76_0523.raw,1,image/RAW,1092446846,3320325,1570811523544,3320223,1576681391102,syn21444980,https://www.synapse.org/#!Synapse:syn20954091.1,4b8012d7d1ccc4e084fd8fc8c031567f,/home/robbe/.synapseCache/176/43862176/ag_76_0523.RAW,
syn20954110,ag_78_0180.raw,1,image/RAW,1381415996,3320325,1570811557958,3320223,1576681391697,syn21444980,https://www.synapse.org/#!Synapse:syn20954110.1,462e929e81ec51b7b49eb703d51a46e4,/home/robbe/.synapseCache/210/43862210/ag_78_0180.RAW,
